summary_type,category,count
overall,raw_comments,1847.0
overall,accepted_comments,1559.0
overall,rejected_comments,288.0
overall,acceptance_rate_percent,84.41
rejection_reason,too_few_words,154.0
rejection_reason,too_few_characters,87.0
rejection_reason,emoji_only,25.0
rejection_reason,spam_pattern,11.0
rejection_reason,excessively_long_comment,7.0
rejection_reason,normalized_duplicate,3.0
rejection_reason,symbol_only,1.0
accepted_language,BM,1062.0
accepted_language,EN,343.0
accepted_language,MIXED,120.0
accepted_language,UNKNOWN,34.0
accepted_theme,cost_of_living_public_policy,664.0
accepted_theme,transport_public_services,408.0
accepted_theme,festivals_national_events,318.0
accepted_theme,tourism_lifestyle_events,101.0
accepted_theme,technology_digital_services,68.0
