record_id,platform,content_type,comment_id,thread_id,video_id,video_title,channel_title,video_url,video_published_at,theme,raw_text,author_hash,comment_published_at,comment_updated_at,like_count,reply_count,can_reply,is_public,viewer_rating,moderation_status,collected_at,collection_status,rejection_reason,clean_text,normalized_text_key,word_count,character_count,emoji_count,emoji_only,contains_alphanumeric,url_count,mention_count,hashtag_count,language_tag,detected_language,malay_indicator_count,english_indicator_count,spam_reasons,spam_flag,normalized_duplicate,cleaning_status
YT_Ugw4ZHpTUyUkkadHLcx4AaABAg,YouTube,top_level_comment,Ugw4ZHpTUyUkkadHLcx4AaABAg,Ugw4ZHpTUyUkkadHLcx4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,❤,d3d573aeab614031b1e9,2026-01-25T13:24:54Z,2026-01-25T13:24:54Z,0,0,True,True,none,,2026-06-17T15:11:41.175650+00:00,raw,emoji_only,❤,,0,1,1,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_Ugx_9L9Ulhtvc3RW9vh4AaABAg,YouTube,top_level_comment,Ugx_9L9Ulhtvc3RW9vh4AaABAg,Ugx_9L9Ulhtvc3RW9vh4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,🙏🙏🙏😇😇😇♥️♥️♥️👏👏👏🤲🤲,3a94092bc657c2a9a315,2025-10-15T21:20:12Z,2025-10-15T21:20:12Z,0,0,True,True,none,,2026-06-17T15:11:41.176469+00:00,raw,emoji_only,🙏🙏🙏😇😇😇♥️♥️♥️👏👏👏🤲🤲,,0,17,14,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_Ugwt-gYcZF8NKNChhfN4AaABAg,YouTube,top_level_comment,Ugwt-gYcZF8NKNChhfN4AaABAg,Ugwt-gYcZF8NKNChhfN4AaABAg,9tQzzOjBIdI,KOS SARA HIDUP | Kerajaan Bakal Umum Langkah Tangani Kos Sara Hidup,Buletin TV3,https://www.youtube.com/watch?v=9tQzzOjBIdI,2025-07-19T05:38:22Z,cost_of_living_public_policy,😂😂😂😂😂😂😂😂😂😂😂,617fd6629eedb7d7643c,2025-07-19T07:14:51Z,2025-07-19T07:14:51Z,0,0,True,True,none,,2026-06-17T15:11:40.015793+00:00,raw,emoji_only,😂😂😂😂😂😂😂😂😂😂😂,,0,11,11,True,False,0,0,0,OTHER,unknown,0,0,excessive_character_repetition,True,False,rejected
YT_Ugw76NEs8HXsjPj0lAN4AaABAg,YouTube,top_level_comment,Ugw76NEs8HXsjPj0lAN4AaABAg,Ugw76NEs8HXsjPj0lAN4AaABAg,UGAL8690ngc,"Bantuan Asas Rahmah diteruskan: RM100 untuk  dewasa, RM500 untuk penerima miskin tegar - Anwar",KiniTV,https://www.youtube.com/watch?v=UGAL8690ngc,2026-01-05T06:06:45Z,cost_of_living_public_policy,❤,0286f295e8834a4bc4c3,2026-01-07T10:42:02Z,2026-01-07T10:42:02Z,0,0,True,True,none,,2026-06-17T15:11:40.405781+00:00,raw,emoji_only,❤,,0,1,1,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgwdfHOpN5Ljm1COt2Z4AaABAg,YouTube,top_level_comment,UgwdfHOpN5Ljm1COt2Z4AaABAg,UgwdfHOpN5Ljm1COt2Z4AaABAg,UGAL8690ngc,"Bantuan Asas Rahmah diteruskan: RM100 untuk  dewasa, RM500 untuk penerima miskin tegar - Anwar",KiniTV,https://www.youtube.com/watch?v=UGAL8690ngc,2026-01-05T06:06:45Z,cost_of_living_public_policy,🙏 🧧🍚🍑👍✍️,f12560c7b20e109597c7,2026-01-06T08:55:19Z,2026-01-06T08:55:19Z,0,0,True,True,none,,2026-06-17T15:11:40.406192+00:00,raw,emoji_only,🙏 🧧🍚🍑👍✍️,,0,8,6,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgxlP-vUaButb9R_4QV4AaABAg,YouTube,top_level_comment,UgxlP-vUaButb9R_4QV4AaABAg,UgxlP-vUaButb9R_4QV4AaABAg,lWY3O9pFexo,KOS SARA HIDUP | PM Umum Butiran Penghargaan Untuk Rakyat Esok (BU),Buletin TV3,https://www.youtube.com/watch?v=lWY3O9pFexo,2025-07-22T12:11:44Z,cost_of_living_public_policy,😅,4b2d205215480f497e7c,2025-07-23T01:47:09Z,2025-07-23T01:47:09Z,0,0,True,True,none,,2026-06-17T15:11:38.330094+00:00,raw,emoji_only,😅,,0,1,1,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgwDCYl0XcO-ljelRCx4AaABAg,YouTube,top_level_comment,UgwDCYl0XcO-ljelRCx4AaABAg,UgwDCYl0XcO-ljelRCx4AaABAg,lWY3O9pFexo,KOS SARA HIDUP | PM Umum Butiran Penghargaan Untuk Rakyat Esok (BU),Buletin TV3,https://www.youtube.com/watch?v=lWY3O9pFexo,2025-07-22T12:11:44Z,cost_of_living_public_policy,"😊.*""*"";;.",eff60fbfdd65d218a0fb,2025-07-22T16:09:57Z,2025-07-22T16:09:57Z,1,0,True,True,none,,2026-06-17T15:11:38.330924+00:00,raw,emoji_only,"😊.*""*"";;.",,0,9,1,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgxSYzBcgugeAvT5qH14AaABAg,YouTube,top_level_comment,UgxSYzBcgugeAvT5qH14AaABAg,UgxSYzBcgugeAvT5qH14AaABAg,mVmYibok-7A,[TERKINI] MOF sekat MyKad individu salah guna subsidi BUDI95,Astro AWANI,https://www.youtube.com/watch?v=mVmYibok-7A,2026-03-23T23:22:33Z,cost_of_living_public_policy,😂😂😂,04c7a91e8fbed370693b,2026-03-24T06:15:22Z,2026-03-24T06:15:22Z,0,0,True,True,none,,2026-06-17T15:11:39.037911+00:00,raw,emoji_only,😂😂😂,,0,3,3,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_Ugw2JkWOrIyh7vqqttJ4AaABAg,YouTube,top_level_comment,Ugw2JkWOrIyh7vqqttJ4AaABAg,Ugw2JkWOrIyh7vqqttJ4AaABAg,3Pk956RGn7o,10 MENU SCAM PALING PELIK DI BAZAR RAMADAN,Faktaw Channel,https://www.youtube.com/watch?v=3Pk956RGn7o,2025-03-22T08:00:02Z,festivals_national_events,😂😂😂😂😂😂😂😂😂😂😂😂😂😂,b2d89b3e5565ad8e277e,2026-05-29T04:21:16Z,2026-05-29T04:21:16Z,0,0,True,True,none,,2026-06-17T15:11:43.540908+00:00,raw,emoji_only,😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,0,14,14,True,False,0,0,0,OTHER,unknown,0,0,excessive_character_repetition,True,False,rejected
YT_UgzR6KO7oH_ECmqAuzd4AaABAg,YouTube,top_level_comment,UgzR6KO7oH_ECmqAuzd4AaABAg,UgzR6KO7oH_ECmqAuzd4AaABAg,3Pk956RGn7o,10 MENU SCAM PALING PELIK DI BAZAR RAMADAN,Faktaw Channel,https://www.youtube.com/watch?v=3Pk956RGn7o,2025-03-22T08:00:02Z,festivals_national_events,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,b2d89b3e5565ad8e277e,2026-05-29T04:21:08Z,2026-05-29T04:21:08Z,0,0,True,True,none,,2026-06-17T15:11:43.540920+00:00,raw,emoji_only,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,0,20,20,True,False,0,0,0,OTHER,unknown,0,0,excessive_character_repetition,True,False,rejected
YT_UgzZCL1o1jYy-X7okPN4AaABAg,YouTube,top_level_comment,UgzZCL1o1jYy-X7okPN4AaABAg,UgzZCL1o1jYy-X7okPN4AaABAg,3Pk956RGn7o,10 MENU SCAM PALING PELIK DI BAZAR RAMADAN,Faktaw Channel,https://www.youtube.com/watch?v=3Pk956RGn7o,2025-03-22T08:00:02Z,festivals_national_events,🤣🤣🤣🤣🤣🤣🤣,5216b0f3080664aa61d4,2025-11-15T07:07:52Z,2025-11-15T07:07:52Z,0,0,True,True,none,,2026-06-17T15:11:43.541765+00:00,raw,emoji_only,🤣🤣🤣🤣🤣🤣🤣,,0,7,7,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgyZNfJFnmd5xKoCFGh4AaABAg,YouTube,top_level_comment,UgyZNfJFnmd5xKoCFGh4AaABAg,UgyZNfJFnmd5xKoCFGh4AaABAg,3Pk956RGn7o,10 MENU SCAM PALING PELIK DI BAZAR RAMADAN,Faktaw Channel,https://www.youtube.com/watch?v=3Pk956RGn7o,2025-03-22T08:00:02Z,festivals_national_events,🎉🎉🎉,23efd552f962c95500f5,2025-10-21T14:09:48Z,2025-10-21T14:09:48Z,0,0,True,True,none,,2026-06-17T15:11:43.541881+00:00,raw,emoji_only,🎉🎉🎉,,0,3,3,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgxV7Kpy9lSl2ddFHDV4AaABAg,YouTube,top_level_comment,UgxV7Kpy9lSl2ddFHDV4AaABAg,UgxV7Kpy9lSl2ddFHDV4AaABAg,3Pk956RGn7o,10 MENU SCAM PALING PELIK DI BAZAR RAMADAN,Faktaw Channel,https://www.youtube.com/watch?v=3Pk956RGn7o,2025-03-22T08:00:02Z,festivals_national_events,😊😊😊😊😊😊😊😊😊😊,e74805b4c1daf84fe168,2025-08-19T06:50:27Z,2025-08-19T06:50:27Z,0,0,True,True,none,,2026-06-17T15:11:43.542074+00:00,raw,emoji_only,😊😊😊😊😊😊😊😊😊😊,,0,10,10,True,False,0,0,0,OTHER,unknown,0,0,excessive_character_repetition,True,False,rejected
YT_UgxlJje96iOJ1CmPDZF4AaABAg,YouTube,top_level_comment,UgxlJje96iOJ1CmPDZF4AaABAg,UgxlJje96iOJ1CmPDZF4AaABAg,3Pk956RGn7o,10 MENU SCAM PALING PELIK DI BAZAR RAMADAN,Faktaw Channel,https://www.youtube.com/watch?v=3Pk956RGn7o,2025-03-22T08:00:02Z,festivals_national_events,😅😅,0f1d7faebe8d8cb6e977,2025-06-12T08:30:44Z,2025-06-12T08:30:44Z,0,0,True,True,none,,2026-06-17T15:11:44.002003+00:00,raw,emoji_only,😅😅,,0,2,2,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgzrWVM_BRmxAsUoSYV4AaABAg,YouTube,top_level_comment,UgzrWVM_BRmxAsUoSYV4AaABAg,UgzrWVM_BRmxAsUoSYV4AaABAg,bjYbNs8TvLc,[PENUH] Perkembangan Terkini Proses Cerapan Anak Bulan Syawal | 19 Mac 2026,Buletin TV3,https://www.youtube.com/watch?v=bjYbNs8TvLc,2026-03-19T10:26:41Z,festivals_national_events,😊😊😊😊,2de044a96aa32c8c793e,2026-03-19T12:01:55Z,2026-03-19T12:01:55Z,1,0,True,True,none,,2026-06-17T15:11:44.348048+00:00,raw,emoji_only,😊😊😊😊,,0,4,4,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgxiTH-atY_JoR8-7dB4AaABAg,YouTube,top_level_comment,UgxiTH-atY_JoR8-7dB4AaABAg,UgxiTH-atY_JoR8-7dB4AaABAg,bjYbNs8TvLc,[PENUH] Perkembangan Terkini Proses Cerapan Anak Bulan Syawal | 19 Mac 2026,Buletin TV3,https://www.youtube.com/watch?v=bjYbNs8TvLc,2026-03-19T10:26:41Z,festivals_national_events,❤❤🤲🤲,18e99ab65539afb8bedd,2026-03-19T11:31:28Z,2026-03-19T11:31:28Z,4,0,True,True,none,,2026-06-17T15:11:44.348273+00:00,raw,emoji_only,❤❤🤲🤲,,0,4,4,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgyetBp5P3jfeEuTDCt4AaABAg,YouTube,top_level_comment,UgyetBp5P3jfeEuTDCt4AaABAg,UgyetBp5P3jfeEuTDCt4AaABAg,bjYbNs8TvLc,[PENUH] Perkembangan Terkini Proses Cerapan Anak Bulan Syawal | 19 Mac 2026,Buletin TV3,https://www.youtube.com/watch?v=bjYbNs8TvLc,2026-03-19T10:26:41Z,festivals_national_events,😂,afbdee127c9f97a2fa37,2026-03-19T11:16:11Z,2026-03-19T11:16:11Z,1,0,True,True,none,,2026-06-17T15:11:44.348322+00:00,raw,emoji_only,😂,,0,1,1,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
YT_UgxE0M3p74QLfRh-mch4AaABAg,YouTube,top_level_comment,UgxE0M3p74QLfRh-mch4AaABAg,UgxE0M3p74QLfRh-mch4AaABAg,hc8RMN2hnnQ,[LANGSUNG] Pengumuman Hari Raya Aidilfitri 2026/1447H  | 19 Mac 2026,Astro AWANI,https://www.youtube.com/watch?v=hc8RMN2hnnQ,2026-03-19T12:16:11Z,festivals_national_events,❤❤🤲,8dda28934dea35137c95,2026-03-19T12:18:16Z,2026-03-19T12:18:16Z,1,0,True,True,none,,2026-06-17T15:11:42.763984+00:00,raw,emoji_only,❤❤🤲,,0,3,3,True,False,0,0,0,OTHER,unknown,0,0,,False,False,rejected
