record_id,platform,content_type,comment_id,thread_id,video_id,video_title,channel_title,video_url,video_published_at,theme,raw_text,author_hash,comment_published_at,comment_updated_at,like_count,reply_count,can_reply,is_public,viewer_rating,moderation_status,collected_at,collection_status,rejection_reason,clean_text,normalized_text_key,word_count,character_count,emoji_count,emoji_only,contains_alphanumeric,url_count,mention_count,hashtag_count,language_tag,detected_language,malay_indicator_count,english_indicator_count,spam_reasons,spam_flag,normalized_duplicate,cleaning_status,predicted_label,negative_probability,neutral_probability,positive_probability,prediction_confidence,probability_margin,confidence_category,review_priority,review_reason,manual_label,manual_review_status,manual_review_notes,final_label,model_name,annotation_stage,manual_label_options,selected_for_balanced_review,review_sequence,reviewed_at,review_decision_source,replacement_status,replacement_notes,supplement_reason,supplement_target_label,dataset_split_ready,final_dataset_name,final_dataset_created_at,final_dataset_sequence
YT_Ugysi_mCOp5GCdQrUlF4AaABAg,YouTube,top_level_comment,Ugysi_mCOp5GCdQrUlF4AaABAg,Ugysi_mCOp5GCdQrUlF4AaABAg,lWY3O9pFexo,KOS SARA HIDUP | PM Umum Butiran Penghargaan Untuk Rakyat Esok (BU),Buletin TV3,https://www.youtube.com/watch?v=lWY3O9pFexo,2025-07-22T12:11:44Z,cost_of_living_public_policy,"Kerajaan kena bagi rakyat duit.sebulan rm.2000. Baru berbaloi,rakyat akan sentiasa sokong🎉🎉",81b72848b81c46d68ef0,2025-07-22T20:33:37Z,2025-07-22T20:33:37Z,16,3,True,True,none,,2026-06-17T15:11:38.330604+00:00,raw,,"Kerajaan kena bagi rakyat duit.sebulan rm.2000. Baru berbaloi,rakyat akan sentiasa sokong🎉🎉",kerajaan kena bagi rakyat duit sebulan rm 2000 baru berbaloi rakyat akan sentiasa sokong,14,91,2,False,True,0,0,0,BM,id,2,0,,False,False,accepted,positive,0.0924920663237571,0.1093446090817451,0.7981632351875305,0.7981632351875305,0.6888186261057854,medium,medium,medium_confidence,positive,reviewed,,positive,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,537,2026-06-18 18:58:29,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,1
YT_UgyfIM6qYUIHjQoExA94AaABAg,YouTube,top_level_comment,UgyfIM6qYUIHjQoExA94AaABAg,UgyfIM6qYUIHjQoExA94AaABAg,mVmYibok-7A,[TERKINI] MOF sekat MyKad individu salah guna subsidi BUDI95,Astro AWANI,https://www.youtube.com/watch?v=mVmYibok-7A,2026-03-23T23:22:33Z,cost_of_living_public_policy,"Inilah pengkhianat negara. Kita nak bantu dia, dia pulak khianat kat kita.",500391d27637f75aa161,2026-03-24T06:32:28Z,2026-03-24T06:32:28Z,0,0,True,True,none,,2026-06-17T15:11:39.037886+00:00,raw,,"Inilah pengkhianat negara. Kita nak bantu dia, dia pulak khianat kat kita.",inilah pengkhianat negara kita nak bantu dia dia pulak khianat kat kita,12,74,0,False,True,0,0,0,BM,id,3,0,,False,False,accepted,negative,0.9408199191093444,0.0303695816546678,0.0288105085492134,0.9408199191093444,0.9104503374546766,high,low,,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,656,2026-06-18 19:16:38,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,2
YT_Ugwfo2MIFn9ZbR7WueJ4AaABAg,YouTube,top_level_comment,Ugwfo2MIFn9ZbR7WueJ4AaABAg,Ugwfo2MIFn9ZbR7WueJ4AaABAg,L-iPwc5b3oI,Malaysia rolls out the welcome mat for first tourists of 2026,The Star,https://www.youtube.com/watch?v=L-iPwc5b3oI,2026-01-01T05:54:35Z,tourism_lifestyle_events,Is this the happy drunk minister?,82c3d4d92ecbd985928b,2026-01-01T09:45:56Z,2026-01-01T09:45:56Z,6,1,True,True,none,,2026-06-17T15:11:45.906773+00:00,raw,,Is this the happy drunk minister?,is this the happy drunk minister,6,33,0,False,True,0,0,0,EN,en,0,3,,False,False,accepted,neutral,0.4831195175647735,0.4994414150714874,0.0174390561878681,0.4994414150714874,0.0163218975067138,low,high,low_confidence | small_probability_margin | neutral_prediction,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,146,2026-06-18 15:52:41,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,3
YT_UgzD8vvXykvFgAQuBLR4AaABAg,YouTube,top_level_comment,UgzD8vvXykvFgAQuBLR4AaABAg,UgzD8vvXykvFgAQuBLR4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Terima kasih pmx....pmx pm pling terbalik🙏,f72d4abb042b6b753791,2025-10-14T07:20:16Z,2025-10-14T07:20:16Z,0,0,True,True,none,,2026-06-17T15:11:41.176859+00:00,raw,,Terima kasih pmx..pmx pm pling terbalik🙏,terima kasih pmx pmx pm pling terbalik,7,40,1,False,True,0,0,0,BM,id,0,0,,False,False,accepted,positive,0.1620697826147079,0.1533187180757522,0.684611439704895,0.684611439704895,0.5225416570901871,medium,medium,medium_confidence,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,380,2026-06-18 18:30:45,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,4
YT_Ugw67x7dxWu14CzSa8Z4AaABAg,YouTube,top_level_comment,Ugw67x7dxWu14CzSa8Z4AaABAg,Ugw67x7dxWu14CzSa8Z4AaABAg,mVmYibok-7A,[TERKINI] MOF sekat MyKad individu salah guna subsidi BUDI95,Astro AWANI,https://www.youtube.com/watch?v=mVmYibok-7A,2026-03-23T23:22:33Z,cost_of_living_public_policy,😂 apa lah ..segali dia bayar okey lah ... Bukan dia warga asing yang guna Ic pun...semua Liter yang diperuntukkan tu memang dah sah2 utk kegunaan yg dah ditetapkan...jadi apa masalahnya...dia nak isi terus 300L pun biarlah janji dia bayar,c0bcf17bb2660f3f9653,2026-03-24T07:27:13Z,2026-03-24T07:27:13Z,0,0,True,True,none,,2026-06-17T15:11:39.037718+00:00,raw,,😂 apa lah ..segali dia bayar okey lah .. Bukan dia warga asing yang guna Ic pun..semua Liter yang diperuntukkan tu memang dah sah2 utk kegunaan yg dah ditetapkan..jadi apa masalahnya..dia nak isi terus 300L pun biarlah janji dia bayar,apa lah segali dia bayar okey lah bukan dia warga asing yang guna ic pun semua liter yang diperuntukkan tu memang dah sah2 utk kegunaan yg dah ditetapkan jadi apa masalahnya dia nak isi terus 300l pun biarlah janji dia bayar,41,234,1,False,True,0,0,0,BM,id,7,0,,False,False,accepted,neutral,0.3300727307796478,0.3533869683742523,0.3165402710437774,0.3533869683742523,0.0233142375946044,low,high,low_confidence | small_probability_margin | neutral_prediction,neutral,reviewed,,neutral,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,2,2026-06-18 15:19:42,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,5
YT_Ugwb08StuF8SFpOEgoh4AaABAg,YouTube,top_level_comment,Ugwb08StuF8SFpOEgoh4AaABAg,Ugwb08StuF8SFpOEgoh4AaABAg,ze_IuVwkuFc,KTMB's 'ghost train' transforms commute for students from the interior,The Star,https://www.youtube.com/watch?v=ze_IuVwkuFc,2026-01-11T13:05:33Z,transport_public_services,This is why you build trains and pedestrian infrastructures. Not cars,e987290fe61da1c238e8,2026-01-13T00:41:57Z,2026-01-13T00:41:57Z,81,1,True,True,none,,2026-06-17T15:11:47.668486+00:00,raw,,This is why you build trains and pedestrian infrastructures. Not cars,this is why you build trains and pedestrian infrastructures not cars,11,69,0,False,True,0,0,0,EN,en,0,6,,False,False,accepted,neutral,0.0386111438274383,0.5257697701454163,0.4356191456317901,0.5257697701454163,0.0901506245136261,low,high,low_confidence | small_probability_margin | neutral_prediction,neutral,reviewed,Changed from negative to neutral after text-based manual review,neutral,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,201,2026-06-18 20:41:44,human_manual_text_based_negative_recheck,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,6
YT_Ugw31zZrm1MYz1s69B14AaABAg,YouTube,top_level_comment,Ugw31zZrm1MYz1s69B14AaABAg,Ugw31zZrm1MYz1s69B14AaABAg,lWY3O9pFexo,KOS SARA HIDUP | PM Umum Butiran Penghargaan Untuk Rakyat Esok (BU),Buletin TV3,https://www.youtube.com/watch?v=lWY3O9pFexo,2025-07-22T12:11:44Z,cost_of_living_public_policy,Harap ada bantuan wang one-off UTK B.40 dan miskin.,ea9219b80d4343db72e7,2025-07-22T22:52:54Z,2025-07-22T22:52:54Z,0,0,True,True,none,,2026-06-17T15:11:38.330462+00:00,raw,,Harap ada bantuan wang one-off UTK B.40 dan miskin.,harap ada bantuan wang one off utk b 40 dan miskin,10,51,0,False,True,0,0,0,BM,id,2,0,,False,False,accepted,negative,0.5338366031646729,0.2210619300603866,0.2451014369726181,0.5338366031646729,0.2887351661920547,low,high,low_confidence,positive,reviewed,,positive,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,216,2026-06-18 16:07:07,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,7
YT_UgyKRlTHXvV2XbZVeFx4AaABAg,YouTube,top_level_comment,UgyKRlTHXvV2XbZVeFx4AaABAg,UgyKRlTHXvV2XbZVeFx4AaABAg,oULUeT07fa0,JPJ MALAYSIA? ADA APA APA JAWAPAN KE? SITA KENDERAAN ORANG SAMPAI BERBULAN BULAN? TERIMA KASIH SINGH,Bossrul Channel,https://www.youtube.com/watch?v=oULUeT07fa0,2025-07-01T02:14:17Z,transport_public_services,Anthony kasi lama sikit pasal luitt blh masuk ma kalau mau kasi itu kes kasi cepat😂,f9cb14e122aed9e82640,2025-07-03T09:49:14Z,2025-07-03T09:49:14Z,1,0,True,True,none,,2026-06-17T15:11:49.222439+00:00,raw,,Anthony kasi lama sikit pasal luitt blh masuk ma kalau mau kasi itu kes kasi cepat😂,anthony kasi lama sikit pasal luitt blh masuk ma kalau mau kasi itu kes kasi cepat,16,83,1,False,True,0,0,0,BM,id,2,0,,False,False,accepted,neutral,0.2152702361345291,0.4874788522720337,0.2972509860992431,0.4874788522720337,0.1902278661727905,low,high,low_confidence | neutral_prediction,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,128,2026-06-18 15:49:29,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,8
YT_Ugwzx0HrwbqGDPm-tmJ4AaABAg,YouTube,top_level_comment,Ugwzx0HrwbqGDPm-tmJ4AaABAg,Ugwzx0HrwbqGDPm-tmJ4AaABAg,Wk-HcKtIaGY,Are We About to See a Chinese Tourist Boom in Malaysia?,Ziet Invests,https://www.youtube.com/watch?v=Wk-HcKtIaGY,2026-02-12T11:00:42Z,tourism_lifestyle_events,"because of this visa free pass, Malaysia has to figure out a way to increase the security. Crimes have been rising ever since this has been implemented. Hopefully, this can be looked at by the government",463a90f308855242d144,2026-02-15T06:24:20Z,2026-02-15T06:24:20Z,9,0,True,True,none,,2026-06-17T15:11:46.187760+00:00,raw,,"because of this visa free pass, Malaysia has to figure out a way to increase the security. Crimes have been rising ever since this has been implemented. Hopefully, this can be looked at by the government",because of this visa free pass malaysia has to figure out a way to increase the security crimes have been rising ever since this has been implemented hopefully this can be looked at by the government,36,203,0,False,True,0,0,0,MIXED,en,1,4,,False,False,accepted,positive,0.2214093208312988,0.3226953744888305,0.4558952748775482,0.4558952748775482,0.1331999003887176,low,high,low_confidence | small_probability_margin | mixed_language,neutral,reviewed,Moved from positive supplement to neutral after manual review,neutral,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,,False,82,2026-06-18 20:30:19,human_manual_review_positive_supplement,available,,positive_shortage_after_manual_review,neutral_after_manual_review,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,9
YT_Ugx2DlYOA_SGuiZmIhR4AaABAg,YouTube,top_level_comment,Ugx2DlYOA_SGuiZmIhR4AaABAg,Ugx2DlYOA_SGuiZmIhR4AaABAg,UGAL8690ngc,"Bantuan Asas Rahmah diteruskan: RM100 untuk  dewasa, RM500 untuk penerima miskin tegar - Anwar",KiniTV,https://www.youtube.com/watch?v=UGAL8690ngc,2026-01-05T06:06:45Z,cost_of_living_public_policy,🎉 berharap harap PMX boleh jadi PM sampai umur 💯 ya 🙏 PMX tolong hapuskan scammer dlm pejabat kerajaan rasuah n sakau ya 🙏,aa8d850b7f83e938a527,2026-01-06T07:22:01Z,2026-01-06T07:22:01Z,15,2,True,True,none,,2026-06-17T15:11:40.406310+00:00,raw,,🎉 berharap harap PMX boleh jadi PM sampai umur 💯 ya 🙏 PMX tolong hapuskan scammer dlm pejabat kerajaan rasuah n sakau ya 🙏,berharap harap pmx boleh jadi pm sampai umur ya pmx tolong hapuskan scammer dlm pejabat kerajaan rasuah n sakau ya,20,122,4,False,True,0,0,0,BM,id,2,0,,False,False,accepted,positive,0.3142449855804443,0.2242774069309234,0.4614775478839874,0.4614775478839874,0.1472325623035431,low,high,low_confidence | small_probability_margin,positive,reviewed,,positive,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,98,2026-06-18 15:44:06,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,10
