record_id,platform,content_type,comment_id,thread_id,video_id,video_title,channel_title,video_url,video_published_at,theme,raw_text,author_hash,comment_published_at,comment_updated_at,like_count,reply_count,can_reply,is_public,viewer_rating,moderation_status,collected_at,collection_status,rejection_reason,clean_text,normalized_text_key,word_count,character_count,emoji_count,emoji_only,contains_alphanumeric,url_count,mention_count,hashtag_count,language_tag,detected_language,malay_indicator_count,english_indicator_count,spam_reasons,spam_flag,normalized_duplicate,cleaning_status,predicted_label,negative_probability,neutral_probability,positive_probability,prediction_confidence,probability_margin,confidence_category,review_priority,review_reason,manual_label,manual_review_status,manual_review_notes,final_label,model_name,annotation_stage,manual_label_options,selected_for_balanced_review,review_sequence,reviewed_at,review_decision_source,replacement_status,replacement_notes,supplement_reason,supplement_target_label,dataset_split_ready,final_dataset_name,final_dataset_created_at,final_dataset_sequence,original_text,translated_text_en,translation_status,translation_method,sentiment,action,review_notes
YT_UgxS1CtjDiUVvr73Yv94AaABAg,YouTube,top_level_comment,UgxS1CtjDiUVvr73Yv94AaABAg,UgxS1CtjDiUVvr73Yv94AaABAg,UGAL8690ngc,"Bantuan Asas Rahmah diteruskan: RM100 untuk  dewasa, RM500 untuk penerima miskin tegar - Anwar",KiniTV,https://www.youtube.com/watch?v=UGAL8690ngc,2026-01-05T06:06:45Z,cost_of_living_public_policy,PMX yang tabah jalankan tugas walaupun dicaci dihina..semuga Allah permudahkan segala urusan tuan,f96b90b8eaadd454116a,2026-01-07T23:50:26Z,2026-01-07T23:50:26Z,1,0,True,True,none,,2026-06-17T15:11:40.405705+00:00,raw,,PMX yang tabah jalankan tugas walaupun dicaci dihina..semuga Allah permudahkan segala urusan tuan,pmx yang tabah jalankan tugas walaupun dicaci dihina semuga allah permudahkan segala urusan tuan,14,97,0,False,True,0,0,0,BM,id,1,0,,False,False,accepted,positive,0.0862510800361633,0.1038709953427314,0.8098779320716858,0.8098779320716858,0.7060069367289543,high,low,,positive,reviewed,Added from reviewed positive supplement,positive,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,,False,36,2026-06-18 20:33:38,human_manual_review_positive_supplement,available,,positive_shortage_after_manual_review,positive,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,583,PMX yang tabah jalankan tugas walaupun dicaci dihina..semuga Allah permudahkan segala urusan tuan,PMX who perseveres in carrying out his duties despite being scolded and insulted..may God make all your affairs easy,translated,google_translate_auto_to_en,positive,keep,current label is acceptable or ambiguous
YT_UgxxAsOq_cMcsdBMUCN4AaABAg,YouTube,top_level_comment,UgxxAsOq_cMcsdBMUCN4AaABAg,UgxxAsOq_cMcsdBMUCN4AaABAg,ePfJmLXfPwU,JPJ perkenal wajah baharu lesen memandu,Harian Metro,https://www.youtube.com/watch?v=ePfJmLXfPwU,2025-05-21T11:30:02Z,transport_public_services,"lebih baik lesen fizikal la senang, digital nak kena login. lupa password susah. adoi",bbfab20087e3234143df,2025-05-21T16:55:32Z,2025-05-21T16:55:32Z,5,0,True,True,none,,2026-06-17T15:11:47.300577+00:00,raw,,"lebih baik lesen fizikal la senang, digital nak kena login. lupa password susah. adoi",lebih baik lesen fizikal la senang digital nak kena login lupa password susah adoi,14,85,0,False,True,0,0,0,BM,id,1,0,,False,False,accepted,negative,0.7509433031082153,0.1591552793979644,0.0899014323949813,0.7509433031082153,0.5917880237102509,medium,medium,medium_confidence,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,443,2026-06-18 18:41:10,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,104,"lebih baik lesen fizikal la senang, digital nak kena login. lupa password susah. adoi","it's better to have a physical license, it's easy, a digital one has to be logged in. forgetting the password is difficult. wait",translated,google_translate_auto_to_en,positive,relabel,positive/supportive cues outweigh negative label after translation
YT_UgxFt5uvs4HgzXyXhZZ4AaABAg,YouTube,top_level_comment,UgxFt5uvs4HgzXyXhZZ4AaABAg,UgxFt5uvs4HgzXyXhZZ4AaABAg,hXMCJ90cK7M,Car vs Public Transport in Malaysia. Who Wins?,Mr Money TV,https://www.youtube.com/watch?v=hXMCJ90cK7M,2025-05-23T12:42:56Z,transport_public_services,"In term of driving, you can said comfortable , faster but everyone do this it will be jam in the future. Actually KL now is very convenient, yes is not direct but with MY50 per month, you won't get this service in the whole world. Now there is DRT also can connect to the LRT and MRT station already",0116f9ba2903383d2e53,2025-05-24T04:37:23Z,2025-05-24T04:37:23Z,6,2,True,True,none,,2026-06-17T15:11:46.927370+00:00,raw,,"In term of driving, you can said comfortable , faster but everyone do this it will be jam in the future. Actually KL now is very convenient, yes is not direct but with MY50 per month, you won't get this service in the whole world. Now there is DRT also can connect to the LRT and MRT station already",in term of driving you can said comfortable faster but everyone do this it will be jam in the future actually kl now is very convenient yes is not direct but with my50 per month you won t get this service in the whole world now there is drt also can connect to the lrt and mrt station already,58,299,0,False,True,0,0,0,EN,en,0,8,,False,False,accepted,positive,0.1553860753774643,0.3588995635509491,0.485714316368103,0.485714316368103,0.1268147528171539,low,high,low_confidence | small_probability_margin,positive,reviewed,,positive,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,123,2026-06-18 15:48:46,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,350,"In term of driving, you can said comfortable , faster but everyone do this it will be jam in the future. Actually KL now is very convenient, yes is not direct but with MY50 per month, you won't get this service in the whole world. Now there is DRT also can connect to the LRT and MRT station already","In term of driving, you can said comfortable , faster but everyone do this it will be jam in the future. Actually KL now is very convenient, yes is not direct but with MY50 per month, you won't get this service in the whole world. Now there is DRT also can connect to the LRT and MRT station already",kept_original_english,none,negative,relabel,negative cues outweigh positive label after translation
YT_UgyksBBik7Sp5S6IYqh4AaABAg,YouTube,top_level_comment,UgyksBBik7Sp5S6IYqh4AaABAg,UgyksBBik7Sp5S6IYqh4AaABAg,lWY3O9pFexo,KOS SARA HIDUP | PM Umum Butiran Penghargaan Untuk Rakyat Esok (BU),Buletin TV3,https://www.youtube.com/watch?v=lWY3O9pFexo,2025-07-22T12:11:44Z,cost_of_living_public_policy,Tak payah nk nyedap rakyat la.. tgk muka pun dah resah glisah takkeruan.. gooo yah le tu.. Rakyat dsaran jgn skali minum cing beli yaww.. kan jd mcm walau Nonn WalaCu kaii..dah minum auto jd bo doh be nakk klubiyy.. 4hari lg haa.. Tgk beli yaww..btapa go yahh nyaa.hermn ksiann.. Dua puluh enam aibu lan ni kita gaaa sak kasi tuuu runn beliyaww.. pasti tuu runnn,26fe568297638cebcecb,2025-07-22T16:20:08Z,2025-07-22T16:20:08Z,2,1,True,True,none,,2026-06-17T15:11:38.330903+00:00,raw,,Tak payah nk nyedap rakyat la.. tgk muka pun dah resah glisah takkeruan.. gooo yah le tu.. Rakyat dsaran jgn skali minum cing beli yaww.. kan jd mcm walau Nonn WalaCu kaii..dah minum auto jd bo doh be nakk klubiyy.. 4hari lg haa.. Tgk beli yaww..btapa go yahh nyaa.hermn ksiann.. Dua puluh enam aibu lan ni kita gaaa sak kasi tuuu runn beliyaww.. pasti tuu runnn,tak payah nk nyedap rakyat la tgk muka pun dah resah glisah takkeruan gooo yah le tu rakyat dsaran jgn skali minum cing beli yaww kan jd mcm walau nonn walacu kaii dah minum auto jd bo doh be nakk klubiyy 4hari lg haa tgk beli yaww btapa go yahh nyaa hermn ksiann dua puluh enam aibu lan ni kita gaaa sak kasi tuuu runn beliyaww pasti tuu runnn,69,362,0,False,True,0,0,0,BM,id,6,0,,False,False,accepted,negative,0.7763659954071045,0.1122660785913467,0.1113679856061935,0.7763659954071045,0.6640999168157578,medium,medium,medium_confidence,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,490,2026-06-18 18:50:41,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,481,Tak payah nk nyedap rakyat la.. tgk muka pun dah resah glisah takkeruan.. gooo yah le tu.. Rakyat dsaran jgn skali minum cing beli yaww.. kan jd mcm walau Nonn WalaCu kaii..dah minum auto jd bo doh be nakk klubiyy.. 4hari lg haa.. Tgk beli yaww..btapa go yahh nyaa.hermn ksiann.. Dua puluh enam aibu lan ni kita gaaa sak kasi tuuu runn beliyaww.. pasti tuu runnn,"You don't have to try to taste the people.. I don't even look at your face, I'm already worried and confused.. gooo, that's it.. The people are advised not to drink cing, buy yaww.. right, it's like that, even Nonn WalaCu kaii.. I've been drinking auto, so I want to go to the club.. 4 more days, haa.. I don't buy yaww.. btapa go yahh nyaa. tuuu runn beliyaww.. definitely tuu runnn",translated,google_translate_auto_to_en,negative,keep,current label is acceptable or ambiguous
YT_Ugxai86IaaDL4YLSwAt4AaABAg,YouTube,top_level_comment,Ugxai86IaaDL4YLSwAt4AaABAg,Ugxai86IaaDL4YLSwAt4AaABAg,oULUeT07fa0,JPJ MALAYSIA? ADA APA APA JAWAPAN KE? SITA KENDERAAN ORANG SAMPAI BERBULAN BULAN? TERIMA KASIH SINGH,Bossrul Channel,https://www.youtube.com/watch?v=oULUeT07fa0,2025-07-01T02:14:17Z,transport_public_services,Betul la tu mansuhkan je JPJ sebab dia bukan boleh tembak orang baik polis je jadi kuatkuasa semua tapi ada bahagian bahagian dia la. Sebab JPJ tak nampak fungsi dia melaikan kerja Lori dekat selekoh baru baru ni hampir kemalangan tu bahaya kan rakyat semata Mata. #RAKYATJAGARAKYAT,1854ee24d5e3e72aecf7,2025-07-22T09:57:26Z,2025-07-22T09:57:26Z,1,0,True,True,none,,2026-06-17T15:11:48.875302+00:00,raw,,Betul la tu mansuhkan je JPJ sebab dia bukan boleh tembak orang baik polis je jadi kuatkuasa semua tapi ada bahagian bahagian dia la. Sebab JPJ tak nampak fungsi dia melaikan kerja Lori dekat selekoh baru baru ni hampir kemalangan tu bahaya kan rakyat semata Mata. RAKYATJAGARAKYAT,betul la tu mansuhkan je jpj sebab dia bukan boleh tembak orang baik polis je jadi kuatkuasa semua tapi ada bahagian bahagian dia la sebab jpj tak nampak fungsi dia melaikan kerja lori dekat selekoh baru baru ni hampir kemalangan tu bahaya kan rakyat semata mata rakyatjagarakyat,47,281,0,False,True,0,0,1,BM,id,9,0,,False,False,accepted,negative,0.951912522315979,0.0218271948397159,0.026260320097208,0.951912522315979,0.925652202218771,high,low,,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,690,2026-06-18 19:21:56,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,757,Betul la tu mansuhkan je JPJ sebab dia bukan boleh tembak orang baik polis je jadi kuatkuasa semua tapi ada bahagian bahagian dia la. Sebab JPJ tak nampak fungsi dia melaikan kerja Lori dekat selekoh baru baru ni hampir kemalangan tu bahaya kan rakyat semata Mata. RAKYATJAGARAKYAT,"That's right, just abolish the JPJ because he can't shoot good people, the police are all powerful, but he has his part. Because JPJ doesn't see the function of him doing truck work near a new bend, it's almost an accident, it's a danger to the people, Mata. PEOPLE OF THE PEOPLE",translated,google_translate_auto_to_en,positive,relabel,positive/supportive cues outweigh negative label after translation
YT_UgzOOo5mcGAwn8Q3qNZ4AaABAg,YouTube,top_level_comment,UgzOOo5mcGAwn8Q3qNZ4AaABAg,UgzOOo5mcGAwn8Q3qNZ4AaABAg,dDRZ6AZbcfw,Malaysian Hawker Fights To Keep His Noodles Affordable As Food Prices Rise | Money Mind | Inflation,CNA Insider,https://www.youtube.com/watch?v=dDRZ6AZbcfw,2025-11-25T14:01:10Z,cost_of_living_public_policy,"The price drop by the time this video are made. Early this month gred D price around RM 12, today is RM9.60. The price never consistent. During raya this year Gred C drop from RM 6 -4. I buy 3 tray at that time.",d342d48676b09f178c38,2025-11-27T03:44:39Z,2025-11-27T03:48:04Z,1,0,True,True,none,,2026-06-17T15:11:42.418446+00:00,raw,,"The price drop by the time this video are made. Early this month gred D price around RM 12, today is RM9.60. The price never consistent. During raya this year Gred C drop from RM 6 -4. I buy 3 tray at that time.",the price drop by the time this video are made early this month gred d price around rm 12 today is rm9 60 the price never consistent during raya this year gred c drop from rm 6 4 i buy 3 tray at that time,45,211,0,False,True,0,0,0,EN,en,0,8,,False,False,accepted,neutral,0.1620882153511047,0.6284003257751465,0.2095115184783935,0.6284003257751465,0.4188888072967529,medium,medium,medium_confidence | neutral_prediction,neutral,reviewed,,neutral,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,357,2026-06-18 18:25:16,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,149,"The price drop by the time this video are made. Early this month gred D price around RM 12, today is RM9.60. The price never consistent. During raya this year Gred C drop from RM 6 -4. I buy 3 tray at that time.","The price drop by the time this video are made. Early this month gred D price around RM 12, today is RM9.60. The price never consistent. During raya this year Gred C drop from RM 6 -4. I buy 3 tray at that time.",kept_original_english,none,neutral,keep,current label is acceptable or ambiguous
YT_Ugym1IADeUoj1tL3kDN4AaABAg,YouTube,top_level_comment,Ugym1IADeUoj1tL3kDN4AaABAg,Ugym1IADeUoj1tL3kDN4AaABAg,MpBToZaCuWE,LRT derailment: Commuters want track and train maintenance to be enhanced,The Star,https://www.youtube.com/watch?v=MpBToZaCuWE,2026-05-28T08:54:43Z,transport_public_services,Good luck with JB-SG RTS.,f6709c2d270cf033c3b8,2026-05-28T12:59:38Z,2026-05-28T12:59:38Z,0,0,True,True,none,,2026-06-17T15:11:46.538661+00:00,raw,,Good luck with JB-SG RTS.,good luck with jb sg rts,5,25,0,False,True,0,0,0,EN,en,0,1,,False,False,accepted,positive,0.0084829200059175,0.0964217707514762,0.8950953483581543,0.8950953483581543,0.798673577606678,high,low,,positive,reviewed,Added from reviewed positive supplement,positive,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,,False,13,2026-06-18 20:33:38,human_manual_review_positive_supplement,available,,positive_shortage_after_manual_review,positive,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,807,Good luck with JB-SG RTS.,Good luck with JB-SG RTS.,kept_original_english,none,positive,keep,current label is acceptable or ambiguous
YT_UgzzBuUFVZ1L0WaJ5qd4AaABAg,YouTube,top_level_comment,UgzzBuUFVZ1L0WaJ5qd4AaABAg,UgzzBuUFVZ1L0WaJ5qd4AaABAg,UGAL8690ngc,"Bantuan Asas Rahmah diteruskan: RM100 untuk  dewasa, RM500 untuk penerima miskin tegar - Anwar",KiniTV,https://www.youtube.com/watch?v=UGAL8690ngc,2026-01-05T06:06:45Z,cost_of_living_public_policy,Love u PMX Luangkan kasa mu,47b5ff01b1b1e96886b2,2026-01-05T14:15:21Z,2026-01-05T14:15:21Z,1,0,True,True,none,,2026-06-17T15:11:40.741985+00:00,raw,,Love u PMX Luangkan kasa mu,love u pmx luangkan kasa mu,6,27,0,False,True,0,0,0,BM,id,0,0,,False,False,accepted,positive,0.1564346700906753,0.1390408873558044,0.7045244574546814,0.7045244574546814,0.548089787364006,medium,medium,medium_confidence,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,400,2026-06-18 18:33:45,human_manual_review,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,83,Love u PMX Luangkan kasa mu,Love u PMX Take off your gauze,translated,google_translate_auto_to_en,positive,relabel,translated English contains stronger positive/supportive sentiment cues
YT_Ugy5hpJGr3o2JNvE12t4AaABAg,YouTube,top_level_comment,Ugy5hpJGr3o2JNvE12t4AaABAg,Ugy5hpJGr3o2JNvE12t4AaABAg,dDRZ6AZbcfw,Malaysian Hawker Fights To Keep His Noodles Affordable As Food Prices Rise | Money Mind | Inflation,CNA Insider,https://www.youtube.com/watch?v=dDRZ6AZbcfw,2025-11-25T14:01:10Z,cost_of_living_public_policy,Seriously the egg is costing RM20 per tray today? Malaysians let's go buy egg from Singapore from now on.,e0fe08cbb466b1811087,2025-11-29T00:28:41Z,2025-11-29T00:28:41Z,0,0,True,True,none,,2026-06-17T15:11:42.418140+00:00,raw,,Seriously the egg is costing RM20 per tray today? Malaysians let's go buy egg from Singapore from now on.,seriously the egg is costing rm20 per tray today malaysians let s go buy egg from singapore from now on,19,105,0,False,True,0,0,0,EN,en,0,3,,False,False,accepted,negative,0.7969539165496826,0.152472898364067,0.0505731701850891,0.7969539165496826,0.6444810181856155,medium,medium,medium_confidence,neutral,reviewed,Changed from negative to neutral after text-based manual review,neutral,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,534,2026-06-18 20:41:44,human_manual_text_based_negative_recheck,,,,,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,255,Seriously the egg is costing RM20 per tray today? Malaysians let's go buy egg from Singapore from now on.,Seriously the egg is costing RM20 per tray today? Malaysians let's go buy egg from Singapore from now on.,kept_original_english,none,neutral,keep,current label is acceptable
YT_UgwLXSPbFtJJhEPU5gZ4AaABAg,YouTube,top_level_comment,UgwLXSPbFtJJhEPU5gZ4AaABAg,UgwLXSPbFtJJhEPU5gZ4AaABAg,oULUeT07fa0,JPJ MALAYSIA? ADA APA APA JAWAPAN KE? SITA KENDERAAN ORANG SAMPAI BERBULAN BULAN? TERIMA KASIH SINGH,Bossrul Channel,https://www.youtube.com/watch?v=oULUeT07fa0,2025-07-01T02:14:17Z,transport_public_services,Yes betol2.... orang nak cari rezeki dengan kenderaan2 diorang,c810f5c09b1639f8dd2d,2025-07-13T03:44:56Z,2025-07-13T03:44:56Z,0,0,True,True,none,,2026-06-17T15:11:48.876331+00:00,raw,,Yes betol2.. orang nak cari rezeki dengan kenderaan2 diorang,yes betol2 orang nak cari rezeki dengan kenderaan2 diorang,9,60,0,False,True,0,0,0,BM,id,3,0,,False,False,accepted,positive,0.2520132660865783,0.3451118767261505,0.4028748273849487,0.4028748273849487,0.0577629506587982,low,high,low_confidence | small_probability_margin,positive,reviewed,Added from reviewed positive supplement,positive,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,,False,115,2026-06-18 20:33:38,human_manual_review_positive_supplement,available,,positive_shortage_after_manual_review,positive,True,final_youtube_sentiment_825_balanced,2026-06-18 20:43:24,547,Yes betol2.. orang nak cari rezeki dengan kenderaan2 diorang,Yes betol2.. people want to earn a living with people's vehicles,translated,google_translate_auto_to_en,neutral,relabel,translated English appears informational/unclear rather than explicit sentiment
