record_id,platform,content_type,comment_id,thread_id,video_id,video_title,channel_title,video_url,video_published_at,theme,raw_text,author_hash,comment_published_at,comment_updated_at,like_count,reply_count,can_reply,is_public,viewer_rating,moderation_status,collected_at,collection_status,rejection_reason,clean_text,normalized_text_key,word_count,character_count,emoji_count,emoji_only,contains_alphanumeric,url_count,mention_count,hashtag_count,language_tag,detected_language,malay_indicator_count,english_indicator_count,spam_reasons,spam_flag,normalized_duplicate,cleaning_status,predicted_label,negative_probability,neutral_probability,positive_probability,prediction_confidence,probability_margin,confidence_category,review_priority,review_reason,manual_label,manual_review_status,manual_review_notes,final_label,model_name,annotation_stage,manual_label_options,selected_for_balanced_review,review_sequence,reviewed_at,review_decision_source,replacement_status,replacement_notes,supplement_reason,supplement_target_label
YT_UgxxhD2gLERJ2SqQZl14AaABAg,YouTube,top_level_comment,UgxxhD2gLERJ2SqQZl14AaABAg,UgxxhD2gLERJ2SqQZl14AaABAg,9tQzzOjBIdI,KOS SARA HIDUP | Kerajaan Bakal Umum Langkah Tangani Kos Sara Hidup,Buletin TV3,https://www.youtube.com/watch?v=9tQzzOjBIdI,2025-07-19T05:38:22Z,cost_of_living_public_policy,Nk tetapkan hari pn berat... Boleh percaya ke ni?,2c69e60f960165c3301f,2025-07-19T07:43:56Z,2025-07-19T07:43:56Z,0,0,True,True,none,,2026-06-17T15:11:40.015694+00:00,raw,,Nk tetapkan hari pn berat.. Boleh percaya ke ni?,nk tetapkan hari pn berat boleh percaya ke ni,9,48,0,False,True,0,0,0,BM,id,1,0,,False,False,accepted,neutral,0.3528987467288971,0.4070525467395782,0.2400486767292022,0.4070525467395782,0.0541538000106811,low,high,low_confidence | small_probability_margin | neutral_prediction,negative,reviewed,Reverted wrong sequence-based correction back to negative,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,37,2026-06-18 20:39:17,human_manual_text_based_revert,,,,
YT_Ugww4CbB6kKf5ZpEx654AaABAg,YouTube,top_level_comment,Ugww4CbB6kKf5ZpEx654AaABAg,Ugww4CbB6kKf5ZpEx654AaABAg,9tQzzOjBIdI,KOS SARA HIDUP | Kerajaan Bakal Umum Langkah Tangani Kos Sara Hidup,Buletin TV3,https://www.youtube.com/watch?v=9tQzzOjBIdI,2025-07-19T05:38:22Z,cost_of_living_public_policy,"Apa yang dia nak umum pun, dia tetap kena turun.",ef2bf6d60e994bf9476e,2025-07-19T06:56:08Z,2025-07-19T06:56:08Z,4,1,True,True,none,,2026-06-17T15:11:40.015831+00:00,raw,,"Apa yang dia nak umum pun, dia tetap kena turun.",apa yang dia nak umum pun dia tetap kena turun,10,48,0,False,True,0,0,0,BM,id,3,0,,False,False,accepted,neutral,0.3713524341583252,0.4074184000492096,0.2212291806936264,0.4074184000492096,0.0360659658908844,low,high,low_confidence | small_probability_margin | neutral_prediction,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,38,2026-06-18 15:31:55,human_manual_review,,,,
YT_UgwVgE6JwFiCssTDKSp4AaABAg,YouTube,top_level_comment,UgwVgE6JwFiCssTDKSp4AaABAg,UgwVgE6JwFiCssTDKSp4AaABAg,9tQzzOjBIdI,KOS SARA HIDUP | Kerajaan Bakal Umum Langkah Tangani Kos Sara Hidup,Buletin TV3,https://www.youtube.com/watch?v=9tQzzOjBIdI,2025-07-19T05:38:22Z,cost_of_living_public_policy,aku nak 1000 hengget.. boleh kasikah? setakat 150 tak payahlah bro,48b1971213bb600403be,2025-07-21T00:22:19Z,2025-07-21T00:22:19Z,2,0,True,True,none,,2026-06-17T15:11:40.015073+00:00,raw,,aku nak 1000 hengget.. boleh kasikah? setakat 150 tak payahlah bro,aku nak 1000 hengget boleh kasikah setakat 150 tak payahlah bro,11,66,0,False,True,0,0,0,BM,id,4,0,,False,False,accepted,neutral,0.2399622797966003,0.4544816613197326,0.3055561482906341,0.4544816613197326,0.1489255130290985,low,high,low_confidence | small_probability_margin | neutral_prediction,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,87,2026-06-18 15:42:22,human_manual_review,,,,
YT_UgxNTPeCJVYKUAqyWdh4AaABAg,YouTube,top_level_comment,UgxNTPeCJVYKUAqyWdh4AaABAg,UgxNTPeCJVYKUAqyWdh4AaABAg,J5SEcQAe1AM,Why Malaysia Forces You to Own a Car,UrbanShiftMY,https://www.youtube.com/watch?v=J5SEcQAe1AM,2026-05-11T05:16:17Z,transport_public_services,"urban design in malaysia is very similiar to the US, almost zero walkability, car dependency everywhere",ea8653e556bcb84ed24a,2026-05-25T02:52:43Z,2026-05-25T02:52:43Z,0,0,True,True,none,,2026-06-17T15:11:48.077160+00:00,raw,,"urban design in malaysia is very similiar to the US, almost zero walkability, car dependency everywhere",urban design in malaysia is very similiar to the us almost zero walkability car dependency everywhere,16,103,0,False,True,0,0,0,MIXED,en,1,3,,False,False,accepted,negative,0.458556056022644,0.3365660905838012,0.2048778235912323,0.458556056022644,0.1219899654388427,low,high,low_confidence | small_probability_margin | mixed_language,negative,reviewed,Reverted wrong sequence-based correction back to negative,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,94,2026-06-18 20:39:17,human_manual_text_based_revert,,,,
YT_UgyKkPbcbWRL6l8fJlJ4AaABAg,YouTube,top_level_comment,UgyKkPbcbWRL6l8fJlJ4AaABAg,UgyKkPbcbWRL6l8fJlJ4AaABAg,Yu37CmWLvK0,SATU MALAYSIA KENA SCAM MAKANAN DI BAZAR RAMADAN‼️ LELAKI SOUND PENIAGA BAZAAR,NuR MuHD,https://www.youtube.com/watch?v=Yu37CmWLvK0,2026-02-22T17:36:49Z,festivals_national_events,Ramadan peluang mereka menipu org..aku beli laksa penang..kuahnya terlalu pekat pekat mcm kuah kari..dan rasanya hangus2..,c5146220ec48c9ef85f9,2026-03-04T01:05:31Z,2026-03-04T01:08:14Z,0,0,True,True,none,,2026-06-17T15:11:44.742722+00:00,raw,,Ramadan peluang mereka menipu org..aku beli laksa penang..kuahnya terlalu pekat pekat mcm kuah kari..dan rasanya hangus2..,ramadan peluang mereka menipu org aku beli laksa penang kuahnya terlalu pekat pekat mcm kuah kari dan rasanya hangus2,19,122,0,False,True,0,0,0,BM,id,3,0,,False,False,accepted,positive,0.2982933223247528,0.23807293176651,0.4636337459087372,0.4636337459087372,0.1653404235839843,low,high,low_confidence,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,101,2026-06-18 15:44:29,human_manual_review,,,,
YT_Ugy4W8yLWpN73lRj25t4AaABAg,YouTube,top_level_comment,Ugy4W8yLWpN73lRj25t4AaABAg,Ugy4W8yLWpN73lRj25t4AaABAg,Yu37CmWLvK0,SATU MALAYSIA KENA SCAM MAKANAN DI BAZAR RAMADAN‼️ LELAKI SOUND PENIAGA BAZAAR,NuR MuHD,https://www.youtube.com/watch?v=Yu37CmWLvK0,2026-02-22T17:36:49Z,festivals_national_events,salah satu sbb aku x g bazar ramadan. sbb ni lah aku suh adik aku ikut kelas Khairul Aming.,69348310a1508faa4b1b,2026-02-27T14:15:30Z,2026-02-27T14:15:30Z,0,0,True,True,none,,2026-06-17T15:11:44.743312+00:00,raw,,salah satu sbb aku x g bazar ramadan. sbb ni lah aku suh adik aku ikut kelas Khairul Aming.,salah satu sbb aku x g bazar ramadan sbb ni lah aku suh adik aku ikut kelas khairul aming,19,91,0,False,True,0,0,0,BM,id,2,0,,False,False,accepted,positive,0.2282533645629882,0.2943066358566284,0.4774399101734161,0.4774399101734161,0.1831332743167877,low,high,low_confidence,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,113,2026-06-18 15:46:51,human_manual_review,,,,
YT_UgzSo47g5q6e5V8pkjV4AaABAg,YouTube,top_level_comment,UgzSo47g5q6e5V8pkjV4AaABAg,UgzSo47g5q6e5V8pkjV4AaABAg,Yu37CmWLvK0,SATU MALAYSIA KENA SCAM MAKANAN DI BAZAR RAMADAN‼️ LELAKI SOUND PENIAGA BAZAAR,NuR MuHD,https://www.youtube.com/watch?v=Yu37CmWLvK0,2026-02-22T17:36:49Z,festivals_national_events,Yg niaga bazar bkn peniaga yg hari2 niaga. Diorang muncul setahun sekaligus CRI untung,003a7ebff0356d1e4af1,2026-03-03T10:19:56Z,2026-03-03T10:19:56Z,0,0,True,True,none,,2026-06-17T15:11:44.742784+00:00,raw,,Yg niaga bazar bkn peniaga yg hari2 niaga. Diorang muncul setahun sekaligus CRI untung,yg niaga bazar bkn peniaga yg hari2 niaga diorang muncul setahun sekaligus cri untung,14,86,0,False,True,0,0,0,BM,id,0,0,,False,False,accepted,neutral,0.2463114708662033,0.4915314316749573,0.262157142162323,0.4915314316749573,0.2293742895126342,low,high,low_confidence | neutral_prediction,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,137,2026-06-18 15:51:41,human_manual_review,,,,
YT_UgyW35IHcrsj-Jklal14AaABAg,YouTube,top_level_comment,UgyW35IHcrsj-Jklal14AaABAg,UgyW35IHcrsj-Jklal14AaABAg,Wk-HcKtIaGY,Are We About to See a Chinese Tourist Boom in Malaysia?,Ziet Invests,https://www.youtube.com/watch?v=Wk-HcKtIaGY,2026-02-12T11:00:42Z,tourism_lifestyle_events,But Malaysian always gatekeep Malaysia saying we lived in tree and it's a ai vid when Ang Mo show Malaysia scenery 😂,0c0d6a581f933807411a,2026-02-13T07:06:37Z,2026-02-13T07:06:37Z,6,0,True,True,none,,2026-06-17T15:11:46.187973+00:00,raw,,But Malaysian always gatekeep Malaysia saying we lived in tree and it's a ai vid when Ang Mo show Malaysia scenery 😂,but malaysian always gatekeep malaysia saying we lived in tree and it s a ai vid when ang mo show malaysia scenery,21,116,1,False,True,0,0,0,MIXED,en,2,2,,False,False,accepted,neutral,0.2420864701271057,0.5074182152748108,0.2504953145980835,0.5074182152748108,0.2569229006767273,low,high,low_confidence | neutral_prediction | mixed_language,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,162,2026-06-18 15:55:11,human_manual_review,,,,
YT_UgwnTLwfYOE06SXi_GV4AaABAg,YouTube,top_level_comment,UgwnTLwfYOE06SXi_GV4AaABAg,UgwnTLwfYOE06SXi_GV4AaABAg,UGAL8690ngc,"Bantuan Asas Rahmah diteruskan: RM100 untuk  dewasa, RM500 untuk penerima miskin tegar - Anwar",KiniTV,https://www.youtube.com/watch?v=UGAL8690ngc,2026-01-05T06:06:45Z,cost_of_living_public_policy,Stop depending on gov handouts. Work harder if you're not a child or an OKU or sick or old.,fc915ebd040b10efd394,2026-01-06T08:41:59Z,2026-01-06T08:41:59Z,2,1,True,True,none,,2026-06-17T15:11:40.406204+00:00,raw,,Stop depending on gov handouts. Work harder if you're not a child or an OKU or sick or old.,stop depending on gov handouts work harder if you re not a child or an oku or sick or old,19,91,0,False,True,0,0,0,EN,en,0,1,,False,False,accepted,neutral,0.3302267789840698,0.52030348777771,0.1494696885347366,0.52030348777771,0.1900767087936401,low,high,low_confidence | neutral_prediction,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,184,2026-06-18 16:00:13,human_manual_review,,,,
YT_UgyzrkGpob4FHuAq0Qt4AaABAg,YouTube,top_level_comment,UgyzrkGpob4FHuAq0Qt4AaABAg,UgyzrkGpob4FHuAq0Qt4AaABAg,zCSY4bGWUXc,"Suara Rakyat: Nilai semula subsidi petrol golongan kaya, apa kata orang miskin?",Astro AWANI,https://www.youtube.com/watch?v=zCSY4bGWUXc,2026-05-11T12:14:22Z,cost_of_living_public_policy,Nilai semula hak istmewa.,e83cf372446df6ea8508,2026-05-11T13:44:14Z,2026-05-11T13:44:14Z,2,0,True,True,none,,2026-06-17T15:11:37.971116+00:00,raw,,Nilai semula hak istmewa.,nilai semula hak istmewa,4,25,0,False,True,0,0,0,BM,id,0,0,,False,False,accepted,neutral,0.2355221509933471,0.5219957828521729,0.2424821406602859,0.5219957828521729,0.2795136421918869,low,high,low_confidence | neutral_prediction,negative,reviewed,,negative,cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,automatic_prelabel,positive | neutral | negative | uncertain,True,190,2026-06-18 16:01:31,human_manual_review,,,,
