video_id,video_title,video_description,channel_id,channel_title,published_at,discovery_theme,query_keyword,search_language,video_url,view_count,like_count,comment_count,privacy_status,made_for_kids,embeddable,license,video_category_id,default_language,default_audio_language,duration,caption_available,definition,date_within_scope,duration_seconds,is_short_video,has_enough_comments,malaysia_matching_terms,malaysia_keyword_match,trusted_channel_matching_terms,trusted_channel_match,irrelevant_matching_terms,irrelevant_term_match,automatic_candidate,candidate_score,manual_relevance,manual_selected_theme,selection_status,rejection_reason,review_notes,collected_at,automated_selected_theme,automated_theme_score,automated_theme_matches,public_opinion_matches,news_matches,tutorial_match,promotional_match,entertainment_match,foreign_focus_match,sensational_match,automated_quality_score,automatic_eligible,final_review_reason,final_review_notes
zCSY4bGWUXc,"Suara Rakyat: Nilai semula subsidi petrol golongan kaya, apa kata orang miskin?",Cadangan kerajaan untuk meneliti semula subsidi petrol bagi golongan kaya mengundang pelbagai reaksi dalam kalangan ...,UC5dYmq91e5_g54krpO06NJw,Astro AWANI,2026-05-11T12:14:22Z,cost_of_living_public_policy,"""subsidi petrol"" Malaysia",en | ms,https://www.youtube.com/watch?v=zCSY4bGWUXc,4213,38,122,public,False,True,youtube,25,ms,ms,PT3M52S,False,hd,True,232,False,True,astro awani,True,astro awani,True,,False,True,11,yes,cost_of_living_public_policy,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,cost_of_living_public_policy,8,petrol | str | subsidi,rakyat | reaksi,kerajaan | subsidi,False,False,False,False,False,27,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
lWY3O9pFexo,KOS SARA HIDUP | PM Umum Butiran Penghargaan Untuk Rakyat Esok (BU),Perdana Menteri Datuk Seri Anwar Ibrahim akan mengumumkan butiran penghargaan yang dijanji buat rakyat esok.,UC2p8wkJVSjsMsRv0MjTikgA,Buletin TV3,2025-07-22T12:11:44Z,cost_of_living_public_policy,"""kos sara hidup"" Malaysia",en,https://www.youtube.com/watch?v=lWY3O9pFexo,20989,231,222,public,False,True,youtube,25,ms,,PT2M39S,False,hd,True,159,False,True,buletin tv3 | kos sara hidup,True,buletin tv3,True,,False,True,10,yes,cost_of_living_public_policy,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,cost_of_living_public_policy,6,kos sara hidup | sara,rakyat,kos sara hidup | menteri,False,False,False,False,False,24,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
mVmYibok-7A,[TERKINI] MOF sekat MyKad individu salah guna subsidi BUDI95,MOF menyekat MyKad dan kelayakan BUDI95 individu yang mengisi petrol RON95 subsidi ke dalam tong. Kerajaan ...,UC5dYmq91e5_g54krpO06NJw,Astro AWANI,2026-03-23T23:22:33Z,cost_of_living_public_policy,"""subsidi petrol"" Malaysia",en | ms,https://www.youtube.com/watch?v=mVmYibok-7A,28393,349,342,public,False,True,youtube,25,ms,ms,PT2M1S,False,hd,True,121,False,True,astro awani,True,astro awani,True,,False,True,10,yes,cost_of_living_public_policy,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,cost_of_living_public_policy,8,petrol | str | subsidi,,kerajaan | subsidi | terkini,False,False,False,False,False,23,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
9tQzzOjBIdI,KOS SARA HIDUP | Kerajaan Bakal Umum Langkah Tangani Kos Sara Hidup,Kerajaan akan mengumumkan penghargaan luar biasa kepada rakyat dalam masa terdekat bagi membantu tangani kos sara ...,UC2p8wkJVSjsMsRv0MjTikgA,Buletin TV3,2025-07-19T05:38:22Z,cost_of_living_public_policy,"""kos sara hidup"" Malaysia",en | ms,https://www.youtube.com/watch?v=9tQzzOjBIdI,8899,91,114,public,False,True,youtube,25,ms,,PT1M51S,False,hd,True,111,False,True,buletin tv3 | kos sara hidup,True,buletin tv3,True,,False,True,10,yes,cost_of_living_public_policy,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,cost_of_living_public_policy,6,kos sara hidup | sara,rakyat,kerajaan | kos sara hidup,False,False,False,False,False,23,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
UGAL8690ngc,"Bantuan Asas Rahmah diteruskan: RM100 untuk  dewasa, RM500 untuk penerima miskin tegar - Anwar","Perdana Menteri, Anwar Ibrahim mengumumkan pembayaran Bantuan Sumbangan Asas Rahmah (SARA) RM100 untuk ...",UC9ULnkwvyofZ_sWrzRpyvrg,KiniTV,2026-01-05T06:06:45Z,cost_of_living_public_policy,"""Sumbangan Tunai Rahmah"" Malaysia",en | ms,https://www.youtube.com/watch?v=UGAL8690ngc,95011,760,228,public,False,True,youtube,25,ms,en,PT4M53S,False,hd,True,293,False,True,rahmah,True,kinitv,True,,False,True,11,yes,cost_of_living_public_policy,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,cost_of_living_public_policy,6,rahmah | sara,,menteri,False,False,False,False,False,22,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",Program Sumbangan Tunai Rahmah (STR) disusun semula di bawah Belanjawan 2026 dengan bayaran tunai dikurangkan ...,UC9ULnkwvyofZ_sWrzRpyvrg,KiniTV,2025-10-13T05:24:51Z,cost_of_living_public_policy,"""Sumbangan Tunai Rahmah"" Malaysia",en | ms,https://www.youtube.com/watch?v=0zi0v_kJ7BE,94992,271,209,public,False,True,youtube,25,ms,en,PT1M23S,False,hd,True,83,False,True,rahmah | sumbangan tunai rahmah,True,kinitv,True,,False,True,10,yes,cost_of_living_public_policy,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,cost_of_living_public_policy,10,rahmah | sara | str | sumbangan tunai,isu,,False,False,False,False,False,21,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
FgMUKH-xEec,"Kerajaan setuju semakan tarik subsidi minyak golongan berpendapatan tinggi, kata PM","Anwar Ibrahim berkata namun belum diputuskan sama ada ia melibatkan T5, T10, T15 atau T20. Laporan Lanjut: ...",UC2CzLwbhTiI8pTKNVyrOnJQ,Free Malaysia Today,2026-05-10T09:06:58Z,cost_of_living_public_policy,"""subsidi petrol"" Malaysia",en | ms,https://www.youtube.com/watch?v=FgMUKH-xEec,7498,76,38,public,False,True,youtube,25,en,en-GB,PT1M17S,False,hd,True,77,False,True,free malaysia today | malaysia,True,free malaysia today,True,,False,True,9,yes,cost_of_living_public_policy,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,cost_of_living_public_policy,4,subsidi,pendapat,kerajaan | laporan | subsidi,False,False,False,False,False,19,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
dDRZ6AZbcfw,Malaysian Hawker Fights To Keep His Noodles Affordable As Food Prices Rise | Money Mind | Inflation,"When prices rise faster than revenue, what do you do – charge more, or work harder? In Kuching, Malaysia, noodle hawker Paul ...",UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,2025-11-25T14:01:10Z,cost_of_living_public_policy,"""food prices"" Malaysia | ""inflation"" Malaysia public",en | ms,https://www.youtube.com/watch?v=dDRZ6AZbcfw,41497,511,159,public,False,True,youtube,25,en-GB,en,PT6M55S,False,hd,True,415,False,True,malaysia | malaysian,True,,False,,False,True,8,yes,cost_of_living_public_policy,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,cost_of_living_public_policy,6,food prices | inflation,,inflation,False,False,False,False,False,15,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
hc8RMN2hnnQ,[LANGSUNG] Pengumuman Hari Raya Aidilfitri 2026/1447H  | 19 Mac 2026,"Ikuti langsung pengumuman rasmi tarikh Hari Raya Aidilfitri 2026/1447H oleh Penyimpan Mohor Besar Raja-Raja, Tan Sri Syed ...",UC5dYmq91e5_g54krpO06NJw,Astro AWANI,2026-03-19T12:16:11Z,festivals_national_events,"""Aidilfitri"" Malaysia news",ms,https://www.youtube.com/watch?v=hc8RMN2hnnQ,372875,3082,86,public,False,True,youtube,25,ms,ms,PT17M35S,False,hd,True,1055,False,True,aidilfitri | astro awani | hari raya,True,astro awani,True,,False,True,10,yes,festivals_national_events,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,festivals_national_events,8,aidilfitri | hari raya | raya,,pengumuman,False,False,False,False,False,20,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
pByBSEMjiyo,MENJELANG AIDILFITRI | PM Umum Cuti Tambahan Sehari Sambut Hari Raya Aidilfitri,"Perdana Menteri, Datuk Seri Anwar Ibrahim mengumumkan cuti am tambahan sehari sempena Hari Raya Aidilfitri sama ada ...",UC2p8wkJVSjsMsRv0MjTikgA,Buletin TV3,2026-03-15T05:40:33Z,festivals_national_events,"""Aidilfitri"" Malaysia news",en | ms,https://www.youtube.com/watch?v=pByBSEMjiyo,12944,121,84,public,False,True,youtube,25,ms,,PT1M18S,False,hd,True,78,False,True,aidilfitri | buletin tv3 | hari raya,True,buletin tv3,True,,False,True,9,yes,festivals_national_events,final_selected,,"Automatically selected using Malaysia relevance, public-opinion indicators, theme strength, quality threshold, channel diversity, duration and comment count.",2026-06-17T14:11:23.938086+00:00,festivals_national_events,8,aidilfitri | hari raya | raya,,menteri,False,False,False,False,False,18,True,,Approved for YouTube comment collection after automated screening and final metadata-based quality review.
