video_id,video_title,theme,reported_comment_count,collected_comment_count,status,error_message,started_at,finished_at
zCSY4bGWUXc,"Suara Rakyat: Nilai semula subsidi petrol golongan kaya, apa kata orang miskin?",cost_of_living_public_policy,122,84,completed_all_available,,2026-06-17T15:11:37.612027+00:00,2026-06-17T15:11:37.975276+00:00
lWY3O9pFexo,KOS SARA HIDUP | PM Umum Butiran Penghargaan Untuk Rakyat Esok (BU),cost_of_living_public_policy,222,120,completed_all_available,,2026-06-17T15:11:38.177097+00:00,2026-06-17T15:11:38.671829+00:00
mVmYibok-7A,[TERKINI] MOF sekat MyKad individu salah guna subsidi BUDI95,cost_of_living_public_policy,342,120,completed_all_available,,2026-06-17T15:11:38.873298+00:00,2026-06-17T15:11:39.409910+00:00
9tQzzOjBIdI,KOS SARA HIDUP | Kerajaan Bakal Umum Langkah Tangani Kos Sara Hidup,cost_of_living_public_policy,114,90,completed_all_available,,2026-06-17T15:11:39.611266+00:00,2026-06-17T15:11:40.021508+00:00
UGAL8690ngc,"Bantuan Asas Rahmah diteruskan: RM100 untuk  dewasa, RM500 untuk penerima miskin tegar - Anwar",cost_of_living_public_policy,228,120,completed_all_available,,2026-06-17T15:11:40.223115+00:00,2026-06-17T15:11:40.749045+00:00
0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",cost_of_living_public_policy,209,120,completed_all_available,,2026-06-17T15:11:40.950616+00:00,2026-06-17T15:11:41.537256+00:00
FgMUKH-xEec,"Kerajaan setuju semakan tarik subsidi minyak golongan berpendapatan tinggi, kata PM",cost_of_living_public_policy,38,32,completed_all_available,,2026-06-17T15:11:41.738766+00:00,2026-06-17T15:11:41.881005+00:00
dDRZ6AZbcfw,Malaysian Hawker Fights To Keep His Noodles Affordable As Food Prices Rise | Money Mind | Inflation,cost_of_living_public_policy,159,73,completed_all_available,,2026-06-17T15:11:42.082515+00:00,2026-06-17T15:11:42.427842+00:00
hc8RMN2hnnQ,[LANGSUNG] Pengumuman Hari Raya Aidilfitri 2026/1447H  | 19 Mac 2026,festivals_national_events,86,60,completed_all_available,,2026-06-17T15:11:42.629625+00:00,2026-06-17T15:11:42.773555+00:00
pByBSEMjiyo,MENJELANG AIDILFITRI | PM Umum Cuti Tambahan Sehari Sambut Hari Raya Aidilfitri,festivals_national_events,84,60,completed_all_available,,2026-06-17T15:11:42.975179+00:00,2026-06-17T15:11:43.148888+00:00
3Pk956RGn7o,10 MENU SCAM PALING PELIK DI BAZAR RAMADAN,festivals_national_events,1071,120,completed_video_cap,,2026-06-17T15:11:43.350360+00:00,2026-06-17T15:11:44.013109+00:00
bjYbNs8TvLc,[PENUH] Perkembangan Terkini Proses Cerapan Anak Bulan Syawal | 19 Mac 2026,festivals_national_events,92,56,completed_all_available,,2026-06-17T15:11:44.215329+00:00,2026-06-17T15:11:44.359633+00:00
Yu37CmWLvK0,SATU MALAYSIA KENA SCAM MAKANAN DI BAZAR RAMADAN‼️ LELAKI SOUND PENIAGA BAZAAR,festivals_national_events,1203,120,completed_video_cap,,2026-06-17T15:11:44.561792+00:00,2026-06-17T15:11:45.136837+00:00
qlQj6Zlgc-M,MyDigital ID akan diwajibkan untuk akses aplikasi MyJPJ & MyBayar PDRM!,technology_digital_services,106,80,completed_all_available,,2026-06-17T15:11:45.338611+00:00,2026-06-17T15:11:45.577074+00:00
L-iPwc5b3oI,Malaysia rolls out the welcome mat for first tourists of 2026,tourism_lifestyle_events,78,55,completed_all_available,,2026-06-17T15:11:45.778614+00:00,2026-06-17T15:11:45.920472+00:00
Wk-HcKtIaGY,Are We About to See a Chinese Tourist Boom in Malaysia?,tourism_lifestyle_events,112,62,completed_all_available,,2026-06-17T15:11:46.122199+00:00,2026-06-17T15:11:46.202843+00:00
MpBToZaCuWE,LRT derailment: Commuters want track and train maintenance to be enhanced,transport_public_services,151,81,completed_all_available,,2026-06-17T15:11:46.404537+00:00,2026-06-17T15:11:46.555760+00:00
hXMCJ90cK7M,Car vs Public Transport in Malaysia. Who Wins?,transport_public_services,123,76,completed_all_available,,2026-06-17T15:11:46.767361+00:00,2026-06-17T15:11:46.973985+00:00
ePfJmLXfPwU,JPJ perkenal wajah baharu lesen memandu,transport_public_services,62,48,completed_all_available,,2026-06-17T15:11:47.176356+00:00,2026-06-17T15:11:47.341829+00:00
ze_IuVwkuFc,KTMB's 'ghost train' transforms commute for students from the interior,transport_public_services,35,30,completed_all_available,,2026-06-17T15:11:47.544683+00:00,2026-06-17T15:11:47.700216+00:00
J5SEcQAe1AM,Why Malaysia Forces You to Own a Car,transport_public_services,471,120,completed_video_cap,,2026-06-17T15:11:47.903577+00:00,2026-06-17T15:11:48.526825+00:00
oULUeT07fa0,JPJ MALAYSIA? ADA APA APA JAWAPAN KE? SITA KENDERAAN ORANG SAMPAI BERBULAN BULAN? TERIMA KASIH SINGH,transport_public_services,144,120,completed_all_available,,2026-06-17T15:11:48.730266+00:00,2026-06-17T15:11:49.274890+00:00
